Bacteria	Country	Region	Code	Year	Aminoglycosides_r_percentage	Carbapenems_r_percentage	Fluoroquinolones_r_percentage	Third-generation_cephalosporins_r_percentage	R_multi	DDD_sys_commun	per_cap_US	GDP_total	GDP_health	Out_pocket_exp	income_pc	rural_pop	HDI	ctrl_corrup	GOV_effect	rule_law	total_pop
Escherichia_coli	Austria	Central	AT	2008	0.065392354	0.00166044	0.229243697	0.074123989	0.024365482	13.2868	5037	51708.76575	9.73	18.24393272	49110	42.034	0.884	1.843034983	1.780839682	1.922994852	8321496
Escherichia_coli	Austria	Central	AT	2009	0.059351816	0.001425178	0.204892966	0.075471698	0.020545239	13.6297	4909	47963.1794	10.23	18.05128604	49000	42.317	0.886	1.703024626	1.666579604	1.784890175	8343323
Escherichia_coli	Austria	Central	AT	2010	0.062199313	0.00040568	0.208888889	0.072553046	0.019070735	13.1338	4796	46858.04327	10.22	18.60162616	49610	42.601	0.895	1.585461736	1.841762662	1.800300002	8363404
Escherichia_coli	Austria	Central	AT	2011	0.072680905	0.000368732	0.222643896	0.091455696	0.024719101	12.6683	5161	51374.95841	10.03	18.73956323	50590	42.885	0.897	1.43189621	1.617761374	1.801554561	8391643
Escherichia_coli	Austria	Central	AT	2012	0.062668828	0.000598802	0.205540166	0.086522911	0.023229779	12.1885	4966	48567.69529	10.2	18.67409199	50060	42.853	0.899	1.389730573	1.57587254	1.858178735	8429991
Escherichia_coli	Austria	Central	AT	2013	0.071673918	0.000234907	0.219677495	0.098491773	0.031235322	14.1696	5234	50716.70871	10.29	19.17125136	50700	42.664	0.896	1.55079484	1.588477135	1.851382136	8479823
Escherichia_coli	Austria	Central	AT	2014	0.070884469	0.000217391	0.198190435	0.093690652	0.026036016	12.0866	5386	51717.49594	10.37	19.09817606	50370	42.474	0.904	1.474734902	1.572585702	1.952464104	8546356
Escherichia_coli	Austria	Central	AT	2015	0.06981982	0.000210084	0.200291181	0.096734694	0.029258098	12.0588	4611	44178.04738	10.37	19.09111291	47450	42.285	0.906	1.519275665	1.47912693	1.855246663	8642699
Escherichia_coli	Austria	Central	AT	2016	0.078125	0.00019478	0.198370595	0.100056958	0.035148042	11.4237	4719	45237.80509	10.42	19.30112839	46220	42.095	0.909	1.548537016	1.511904955	1.814966559	8736668
Escherichia_coli	Austria	Central	AT	2017	0.077096653	0.000191314	0.204583566	0.096315071	0.032735161	11.9188	4940	47549.07904	10.4	19.2032665	45150	41.906	0.912	1.526028633	1.461260676	1.81247282	8797566
Escherichia_coli	Austria	Central	AT	2018	0.082264957	0.000718907	0.218524388	0.102080395	0.036441586	10.4153	4940	51525.04643	10.4	19.2032665	49400	41.703	0.914	1.59649229	1.453342438	1.874770164	8840521
Escherichia_coli	Belgium	Western	BE	2008	0.043521266	0	0.168429003	0.041873669	0.002024291	22.6763	4540	48106.89292	9.34	18.43404472	46470	2.445	0.899	1.374890208	1.389755607	1.345494866	10709973
Escherichia_coli	Belgium	Western	BE	2009	0.072803347	0	0.199468085	0.064536341	0.016170213	22.1649	4567	44583.54481	10.14	18.16453636	46840	2.397	0.899	1.460205913	1.571341515	1.384072661	10796493
Escherichia_coli	Belgium	Western	BE	2010	0.056186869	0	0.215488215	0.051741803	0.009603073	23.1055	4450	44141.87814	9.97	18.17270666	46950	2.349	0.903	1.527498484	1.575025916	1.393127918	10895586
Escherichia_coli	Belgium	Western	BE	2011	0.071154517	0	0.215271908	0.060476788	0.01613469	23.6027	4856	47348.52502	10.14	18.17521751	46400	2.302	0.904	1.575072408	1.656355858	1.418425918	11038264
Escherichia_coli	Belgium	Western	BE	2012	0.072757475	0.000242777	0.221621622	0.068830852	0.019679787	23.9409	4615	44673.11588	10.27	17.73408204	47100	2.256	0.905	1.608068228	1.602476358	1.427129149	11106932
Escherichia_coli	Belgium	Western	BE	2013	0.073436083	0.000471032	0.229516168	0.079980252	0.026768642	22.5706	4850	46744.66254	10.37	18.03226322	47880	2.211	0.908	1.673882127	1.607339144	1.43843472	11159407
Escherichia_coli	Belgium	Western	BE	2014	0.088508557	0.000382555	0.267025779	0.097430407	0.039119804	22.3619	4944	47700.54036	10.41	17.49034077	47800	2.167	0.91	1.573291898	1.381594181	1.52343905	11209057
Escherichia_coli	Belgium	Western	BE	2015	0.083552056	0	0.26588694	0.096799074	0.034573304	22.751	4171	40991.80814	10.28	17.53991246	45540	2.124	0.913	1.57330668	1.438440561	1.463494301	11274196
Escherichia_coli	Belgium	Western	BE	2016	0.084024007	0.000520156	0.245459263	0.104896976	0.038043478	22.531	4279	41998.33575	10.3	17.86475033	43440	2.081	0.915	1.638705134	1.326213479	1.390964746	11331422
Escherichia_coli	Belgium	Western	BE	2017	0.080923322	0.000214041	0.238019169	0.097388699	0.034794157	21.1439	4507	44288.50804	10.34	17.63822287	42750	2.039	0.917	1.497134089	1.181692719	1.3434273	11375158
Escherichia_coli	Belgium	Western	BE	2018	0.074045003	0.000646412	0.218000475	0.090223945	0.030716724	20.7657	4507	47491.32326	10.34	17.63822287	45940	1.999	0.919	1.510498047	1.171748161	1.367054224	11427054
