Bacteria	Country	Region	Code	Year	Aminoglycosides_r_percentage	Carbapenems_r_percentage	Fluoroquinolones_r_percentage	Third-generation_cephalosporins_r_percentage	R_multi	DDD_sys_commun	per_cap_US	GDP_total	GDP_health	Out_pocket_exp	income_pc	rural_pop	HDI	ctrl_corrup	GOV_effect	rule_law	total_pop
Klebsiella_pneumoniae	Austria	Central	AT	2008	0.061962134	0	0.117039587	0.079447323	0.037996546	13.2868	5037	51708.76575	9.73	18.24393272	49110	42.034	0.884	1.843034983	1.780839682	1.922994852	8321496
Klebsiella_pneumoniae	Austria	Central	AT	2009	0.030794165	0	0.084437086	0.076422764	0.020033389	13.6297	4909	47963.1794	10.23	18.05128604	49000	42.317	0.886	1.703024626	1.666579604	1.784890175	8343323
Klebsiella_pneumoniae	Austria	Central	AT	2010	0.055632823	0.00589391	0.181944444	0.126388889	0.018181818	13.1338	4796	46858.04327	10.22	18.60162616	49610	42.601	0.895	1.585461736	1.841762662	1.800300002	8363404
Klebsiella_pneumoniae	Austria	Central	AT	2011	0.069620253	0.001639344	0.165621079	0.133333333	0.039490446	12.6683	5161	51374.95841	10.03	18.73956323	50590	42.885	0.897	1.43189621	1.617761374	1.801554561	8391643
Klebsiella_pneumoniae	Austria	Central	AT	2012	0.050175029	0.008130081	0.154402895	0.11757858	0.039903265	12.1885	4966	48567.69529	10.2	18.67409199	50060	42.853	0.899	1.389730573	1.57587254	1.858178735	8429991
Klebsiella_pneumoniae	Austria	Central	AT	2013	0.049710983	0.012087912	0.157837838	0.107332625	0.035842294	14.1696	5234	50716.70871	10.29	19.17125136	50700	42.664	0.896	1.55079484	1.588477135	1.851382136	8479823
Klebsiella_pneumoniae	Austria	Central	AT	2014	0.055135135	0.006179197	0.104016478	0.082329317	0.032222222	12.0866	5386	51717.49594	10.37	19.09817606	50370	42.474	0.904	1.474734902	1.572585702	1.952464104	8546356
Klebsiella_pneumoniae	Austria	Central	AT	2015	0.047966632	0.007827789	0.116618076	0.083809524	0.033119658	12.0588	4611	44178.04738	10.37	19.09111291	47450	42.285	0.906	1.519275665	1.47912693	1.855246663	8642699
Klebsiella_pneumoniae	Austria	Central	AT	2016	0.048401037	0.006677796	0.097913323	0.095582329	0.035467128	11.4237	4719	45237.80509	10.42	19.30112839	46220	42.095	0.909	1.548537016	1.511904955	1.814966559	8736668
Klebsiella_pneumoniae	Austria	Central	AT	2017	0.04820333	0.009918846	0.142109852	0.085820896	0.030131827	11.9188	4940	47549.07904	10.4	19.2032665	45150	41.906	0.912	1.526028633	1.461260676	1.81247282	8797566
Klebsiella_pneumoniae	Austria	Central	AT	2018	0.047775947	0.010135135	0.131859132	0.083538084	0.030756442	10.4153	4940	51525.04643	10.4	19.2032665	49400	41.703	0.914	1.59649229	1.453342438	1.874770164	8840521
Klebsiella_pneumoniae	Belgium	Western	BE	2009	0.120689655	0.012048193	0.133802817	0.147887324	0.034482759	22.1649	4567	44583.54481	10.14	18.16453636	46840	2.397	0.899	1.460205913	1.571341515	1.384072661	10796493
Klebsiella_pneumoniae	Belgium	Western	BE	2010	0.019047619	0	0.125	0.125874126	0.00952381	23.1055	4450	44141.87814	9.97	18.17270666	46950	2.349	0.903	1.527498484	1.575025916	1.393127918	10895586
Klebsiella_pneumoniae	Belgium	Western	BE	2011	0.088888889	0.003095975	0.149321267	0.136227545	0.056565657	23.6027	4856	47348.52502	10.14	18.17521751	46400	2.302	0.904	1.575072408	1.656355858	1.418425918	11038264
Klebsiella_pneumoniae	Belgium	Western	BE	2012	0.115942029	0.00733945	0.172932331	0.164814815	0.085158151	23.9409	4615	44673.11588	10.27	17.73408204	47100	2.256	0.905	1.608068228	1.602476358	1.427129149	11106932
Klebsiella_pneumoniae	Belgium	Western	BE	2013	0.119341564	0.003236246	0.222222222	0.153198653	0.081896552	22.5706	4850	46744.66254	10.37	18.03226322	47880	2.211	0.908	1.673882127	1.607339144	1.43843472	11159407
Klebsiella_pneumoniae	Belgium	Western	BE	2014	0.108504399	0.004662005	0.181818182	0.162886598	0.079178886	22.3619	4944	47700.54036	10.41	17.49034077	47800	2.167	0.91	1.573291898	1.381594181	1.52343905	11209057
Klebsiella_pneumoniae	Belgium	Western	BE	2015	0.115819209	0.005141388	0.226912929	0.197044335	0.093484419	22.751	4171	40991.80814	10.28	17.53991246	45540	2.124	0.913	1.57330668	1.438440561	1.463494301	11274196
Klebsiella_pneumoniae	Belgium	Western	BE	2016	0.138147567	0.023916293	0.236173393	0.228699552	0.092621664	22.531	4279	41998.33575	10.3	17.86475033	43440	2.081	0.915	1.638705134	1.326213479	1.390964746	11331422
Klebsiella_pneumoniae	Belgium	Western	BE	2017	0.124802528	0.011378003	0.236612702	0.193026152	0.085308057	21.1439	4507	44288.50804	10.34	17.63822287	42750	2.039	0.917	1.497134089	1.181692719	1.3434273	11375158
Klebsiella_pneumoniae	Belgium	Western	BE	2018	0.124497992	0.013903743	0.22639485	0.213903743	0.098382749	20.7657	4507	47491.32326	10.34	17.63822287	45940	1.999	0.919	1.510498047	1.171748161	1.367054224	11427054
Klebsiella_pneumoniae	Bulgaria	Eastern	BG	2008	0.571428571	0	0.520833333	0.734693878	0.4375	17.4905	455.5	7265.735497	6.29	42.6291883	6070	28.378	0.771	-0.254679352	-0.047309104	-0.107263453	7492561
Klebsiella_pneumoniae	Bulgaria	Eastern	BG	2009	0.610526316	0	0.484210526	0.694736842	0.389473684	15.9105	459.3	6984.965976	6.61	44.36734319	6670	28.037	0.774	-0.212567106	0.166158289	-0.038340408	7444443
Klebsiella_pneumoniae	Bulgaria	Eastern	BG	2010	0.696	0	0.523809524	0.755905512	0.443548387	15.8428	484.8	6809.898984	7.11	43.14134419	6940	27.698	0.779	-0.185103625	0.114835203	-0.069240548	7395599
Klebsiella_pneumoniae	Bulgaria	Eastern	BG	2011	0.711864407	0	0.512396694	0.809917355	0.457627119	16.9587	555.9	7806.348652	7.13	44.46372688	7220	27.362	0.782	-0.220316142	0.110085554	-0.111741245	7348328
Klebsiella_pneumoniae	Bulgaria	Eastern	BG	2012	0.53968254	0.018518519	0.472440945	0.748031496	0.365079365	16.1092	558.6	7393.189177	7.59	47.74680734	7430	27.025	0.786	-0.227857694	0.141888097	-0.085204966	7305888
Klebsiella_pneumoniae	Bulgaria	Eastern	BG	2013	0.507575758	0	0.456521739	0.695652174	0.356060606	17.2952	600.3	7651.817881	7.87	47.10148871	7590	26.687	0.792	-0.267288208	0.157344475	-0.102405354	7265115
Klebsiella_pneumoniae	Bulgaria	Eastern	BG	2014	0.657342657	0.071942446	0.503311258	0.748344371	0.440559441	18.6023	666.4	7874.260904	8.5	45.8127737	7740	26.349	0.797	-0.246874854	0.0787379	-0.046017233	7223938
Klebsiella_pneumoniae	Bulgaria	Eastern	BG	2015	0.595238095	0.031578947	0.375	0.75	0.285714286	18.8214	572	7053.603706	8.2	47.66826928	7450	26.01	0.807	-0.264645517	0.208683118	-0.097004414	7177991
Klebsiella_pneumoniae	Bulgaria	Eastern	BG	2016	0.644444444	0.044025157	0.55625	0.725	0.458646617	17.6417	612.5	7545.790332	8.23	47.95404673	7430	25.671	0.812	-0.168443292	0.295897067	-0.061471604	7127822
Klebsiella_pneumoniae	Bulgaria	Eastern	BG	2017	0.630952381	0.124260355	0.597633136	0.763313609	0.5	18.9446	663.7	8331.058025	8.1	46.55256867	7640	25.331	0.813	-0.161115259	0.260194153	-0.040922999	7075947
